Area,"CO2 (Mt)",Sector,Date
Heilongjiang,2.882515,Industry,2024-03
Henan,13.804615,Industry,2024-03
Hubei,25.603478,Industry,2024-03
Hunan,9.005456,Industry,2024-03
"Inner Mongolia",9.863524,Industry,2024-03
Jiangsu,36.880795,Industry,2024-03
Jiangxi,8.572208,Industry,2024-03
Jilin,4.078049,Industry,2024-03
Liaoning,18.708049,Industry,2024-03
Ningxia,1.721838,Industry,2024-03
Qinghai,1.305591,Industry,2024-03
Shaanxi,6.364243,Industry,2024-03
Shandong,32.302648,Industry,2024-03
Shanghai,4.320287,Industry,2024-03
Shanxi,13.717415,Industry,2024-03
Sichuan,15.994558,Industry,2024-03
Tianjin,6.450095,Industry,2024-03
Tibet,0.145941,Industry,2024-03
Xinjiang,5.677079,Industry,2024-03
Yunnan,16.283067,Industry,2024-03
Zhejiang,15.306841,Industry,2024-03
Anhui,19.219924,Power,2024-03
Beijing,1.927299,Power,2024-03
Chongqing,4.093544,Power,2024-03
Fujian,9.811758,Power,2024-03
Gansu,7.537246,Power,2024-03
Guangdong,21.331110,Power,2024-03
Guangxi,7.546727,Power,2024-03
Guizhou,8.125223,Power,2024-03
Hainan,1.717255,Power,2024-03
Hebei,22.671525,Power,2024-03
Heilongjiang,5.860156,Power,2024-03
Henan,15.274546,Power,2024-03
Hubei,7.841777,Power,2024-03
Hunan,5.291701,Power,2024-03
"Inner Mongolia",42.418306,Power,2024-03
Jiangsu,30.299755,Power,2024-03
Jiangxi,6.127004,Power,2024-03
Jilin,4.393191,Power,2024-03
Liaoning,8.952255,Power,2024-03
Ningxia,9.703265,Power,2024-03
Qinghai,2.224449,Power,2024-03
Shaanxi,16.530745,Power,2024-03
Shandong,32.834470,Power,2024-03
Shanghai,4.025887,Power,2024-03
Shanxi,21.934329,Power,2024-03
Sichuan,7.332562,Power,2024-03
Tianjin,4.893556,Power,2024-03
Tibet,0.020489,Power,2024-03
Xinjiang,24.165479,Power,2024-03
Yunnan,5.351054,Power,2024-03
Zhejiang,16.875132,Power,2024-03
Anhui,0.220282,Residential,2024-03
Beijing,5.048266,Residential,2024-03
Chongqing,0.000000,Residential,2024-03
Fujian,0.000000,Residential,2024-03
Gansu,2.072699,Residential,2024-03
Guangdong,0.000000,Residential,2024-03
Guangxi,0.000000,Residential,2024-03
Guizhou,0.013755,Residential,2024-03
Hainan,0.000000,Residential,2024-03
Hebei,7.073970,Residential,2024-03
Heilongjiang,6.414942,Residential,2024-03
Henan,4.245917,Residential,2024-03
Hubei,0.142957,Residential,2024-03
Hunan,0.000000,Residential,2024-03
"Inner Mongolia",5.034071,Residential,2024-03
Jiangsu,0.009339,Residential,2024-03
Jiangxi,0.000000,Residential,2024-03
Jilin,5.132401,Residential,2024-03
Liaoning,10.276554,Residential,2024-03
Ningxia,1.119107,Residential,2024-03
Qinghai,0.633560,Residential,2024-03
Shaanxi,3.551158,Residential,2024-03
Shandong,12.791478,Residential,2024-03
Shanghai,0.000000,Residential,2024-03
Shanxi,5.729301,Residential,2024-03
Sichuan,0.000000,Residential,2024-03
Tianjin,4.210059,Residential,2024-03
Tibet,0.011353,Residential,2024-03
Xinjiang,3.518460,Residential,2024-03
Yunnan,0.013920,Residential,2024-03
Zhejiang,0.000000,Residential,2024-03
Anhui,34.678247,Total,2024-03
Beijing,10.561272,Total,2024-03
Chongqing,11.595438,Total,2024-03
Fujian,23.613031,Total,2024-03
Gansu,17.361927,Total,2024-03
Guangdong,41.743257,Total,2024-03
Guangxi,24.568428,Total,2024-03
Guizhou,20.226372,Total,2024-03
Hainan,5.029276,Total,2024-03
Hebei,83.847686,Total,2024-03
Heilongjiang,17.858474,Total,2024-03
Henan,36.001069,Total,2024-03
Hubei,36.361078,Total,2024-03
Hunan,16.971513,Total,2024-03
"Inner Mongolia",59.953958,Total,2024-03
Jiangsu,70.471451,Total,2024-03
Jiangxi,17.377612,Total,2024-03
Jilin,16.320638,Total,2024-03
Liaoning,40.791664,Total,2024-03
Ningxia,15.215498,Total,2024-03
Qinghai,6.836705,Total,2024-03
Shaanxi,29.442585,Total,2024-03
Shandong,81.050927,Total,2024-03
Shanghai,11.328272,Total,2024-03
Shanxi,44.082238,Total,2024-03
Sichuan,26.581029,Total,2024-03
Tianjin,18.252918,Total,2024-03
Tibet,2.589158,Total,2024-03
Xinjiang,35.941600,Total,2024-03
Yunnan,24.514527,Total,2024-03
Zhejiang,35.231159,Total,2024-03
Anhui,0.288002,Aviation,2024-04
Beijing,0.277384,Aviation,2024-04
Chongqing,0.315788,Aviation,2024-04
Fujian,0.311817,Aviation,2024-04
Gansu,0.127830,Aviation,2024-04
Guangdong,0.331247,Aviation,2024-04
Guangxi,0.066088,Aviation,2024-04
Guizhou,0.229884,Aviation,2024-04
Hainan,0.018062,Aviation,2024-04
Hebei,0.262023,Aviation,2024-04
Heilongjiang,0.108384,Aviation,2024-04
Henan,0.150199,Aviation,2024-04
Hubei,0.138716,Aviation,2024-04
Hunan,0.123645,Aviation,2024-04
"Inner Mongolia",0.139149,Aviation,2024-04
Jiangsu,0.753259,Aviation,2024-04
Jiangxi,0.186048,Aviation,2024-04
Jilin,0.102749,Aviation,2024-04
Liaoning,0.241213,Aviation,2024-04
Ningxia,0.053422,Aviation,2024-04
Qinghai,0.038065,Aviation,2024-04
Shaanxi,0.340241,Aviation,2024-04
Shandong,0.559925,Aviation,2024-04
Shanghai,0.293078,Aviation,2024-04
Shanxi,0.132955,Aviation,2024-04
Sichuan,0.631893,Aviation,2024-04
Tianjin,0.098751,Aviation,2024-04
Tibet,0.026212,Aviation,2024-04
Xinjiang,0.196490,Aviation,2024-04
Yunnan,0.309065,Aviation,2024-04
Zhejiang,0.497551,Aviation,2024-04
Anhui,2.362288,"Ground Transport",2024-04
Beijing,2.669758,"Ground Transport",2024-04
Chongqing,2.634520,"Ground Transport",2024-04
Fujian,2.448666,"Ground Transport",2024-04
Gansu,2.695222,"Ground Transport",2024-04
Guangdong,2.462737,"Ground Transport",2024-04
Guangxi,2.413568,"Ground Transport",2024-04
Guizhou,2.426951,"Ground Transport",2024-04
Hainan,2.433072,"Ground Transport",2024-04
Hebei,2.489592,"Ground Transport",2024-04
Heilongjiang,2.556919,"Ground Transport",2024-04
Henan,2.447410,"Ground Transport",2024-04
Hubei,2.536132,"Ground Transport",2024-04
Hunan,2.517485,"Ground Transport",2024-04
"Inner Mongolia",2.418024,"Ground Transport",2024-04
Jiangsu,2.367403,"Ground Transport",2024-04
Jiangxi,2.418598,"Ground Transport",2024-04
Jilin,2.552294,"Ground Transport",2024-04
Liaoning,2.565989,"Ground Transport",2024-04
Ningxia,2.506749,"Ground Transport",2024-04
Qinghai,2.580486,"Ground Transport",2024-04
Shaanxi,2.557431,"Ground Transport",2024-04
Shandong,2.457379,"Ground Transport",2024-04
Shanghai,2.577783,"Ground Transport",2024-04
Shanxi,2.492624,"Ground Transport",2024-04
Sichuan,2.551358,"Ground Transport",2024-04
Tianjin,2.510550,"Ground Transport",2024-04
Tibet,2.320789,"Ground Transport",2024-04
Xinjiang,2.320789,"Ground Transport",2024-04
Yunnan,2.461028,"Ground Transport",2024-04
Zhejiang,2.400505,"Ground Transport",2024-04
Anhui,11.132221,Industry,2024-04
Beijing,0.430332,Industry,2024-04
Chongqing,4.092794,Industry,2024-04
Fujian,10.607148,Industry,2024-04
Gansu,3.447948,Industry,2024-04
Guangdong,15.553822,Industry,2024-04
Guangxi,12.624234,Industry,2024-04
Guizhou,8.394908,Industry,2024-04
Hainan,0.565571,Industry,2024-04
Hebei,48.204944,Industry,2024-04
Heilongjiang,2.831760,Industry,2024-04
Henan,12.669096,Industry,2024-04
Hubei,24.231945,Industry,2024-04
Hunan,8.161631,Industry,2024-04
"Inner Mongolia",8.858234,Industry,2024-04
Jiangsu,34.375020,Industry,2024-04
Jiangxi,7.747534,Industry,2024-04
Jilin,3.530844,Industry,2024-04
Liaoning,16.852051,Industry,2024-04
Ningxia,1.992600,Industry,2024-04
Qinghai,1.603764,Industry,2024-04
Shaanxi,6.135123,Industry,2024-04
Shandong,30.738069,Industry,2024-04
Shanghai,4.163221,Industry,2024-04
Shanxi,13.931919,Industry,2024-04
Sichuan,14.611593,Industry,2024-04
Tianjin,5.881632,Industry,2024-04
Tibet,0.182041,Industry,2024-04
Xinjiang,5.557355,Industry,2024-04
Yunnan,14.545905,Industry,2024-04
Zhejiang,13.640442,Industry,2024-04
Anhui,17.287636,Power,2024-04
Beijing,1.283030,Power,2024-04
Chongqing,3.317090,Power,2024-04
Fujian,7.565550,Power,2024-04
Gansu,5.164409,Power,2024-04
Guangdong,20.909869,Power,2024-04
Guangxi,7.116768,Power,2024-04
Guizhou,6.894295,Power,2024-04
Hainan,1.886382,Power,2024-04
Hebei,20.768110,Power,2024-04
Heilongjiang,4.663616,Power,2024-04
Henan,13.747097,Power,2024-04
Hubei,6.826487,Power,2024-04
Hunan,3.402819,Power,2024-04
"Inner Mongolia",39.177594,Power,2024-04
Jiangsu,28.453292,Power,2024-04
Jiangxi,5.385018,Power,2024-04
Jilin,3.213468,Power,2024-04
Liaoning,7.138915,Power,2024-04
Ningxia,8.195960,Power,2024-04
Qinghai,1.549446,Power,2024-04
Shaanxi,13.686094,Power,2024-04
Shandong,31.470249,Power,2024-04
Shanghai,3.167597,Power,2024-04
Shanxi,18.942601,Power,2024-04
