Area,"CO2 (Kt)",Sector,Date
Helsinki,65.076800,Residential,2024-02
Houston,1098.825204,Residential,2024-02
Istanbul,1363.415047,Residential,2024-02
Jinan,499.382380,Residential,2024-02
London,1420.319652,Residential,2024-02
"Los Angeles",3674.313953,Residential,2024-02
Lyon,121.751419,Residential,2024-02
Madrid,426.029627,Residential,2024-02
Marseille,99.782591,Residential,2024-02
Melbourne,130.558924,Residential,2024-02
"Mexico City",194.055427,Residential,2024-02
Miami,1149.495172,Residential,2024-02
Milan,188.125590,Residential,2024-02
Moscow,2063.711891,Residential,2024-02
Munich,251.356956,Residential,2024-02
Nanjing,614.657737,Residential,2024-02
"New Delhi",230.393535,Residential,2024-02
"New York",3129.041367,Residential,2024-02
Nice,27.825890,Residential,2024-02
Osaka,1976.076824,Residential,2024-02
Oslo,13.382088,Residential,2024-02
Paris,1346.031863,Residential,2024-02
Qingdao,484.693968,Residential,2024-02
Rome,400.714331,Residential,2024-02
"San Francisco",1177.817834,Residential,2024-02
Santiago,134.508620,Residential,2024-02
Seattle,687.148186,Residential,2024-02
Seoul,3697.666462,Residential,2024-02
Shanghai,1732.379969,Residential,2024-02
Stockholm,13.623076,Residential,2024-02
Sydney,131.665794,Residential,2024-02
Tokyo,4229.760666,Residential,2024-02
Total,42893.453811,Residential,2024-02
Washington,1338.837849,Residential,2024-02
Amsterdam,1069.112350,Total,2024-02
Bangkok,1346.018486,Total,2024-02
Barcelona,654.787116,Total,2024-02
Beijing,11052.661469,Total,2024-02
Berlin,1338.785985,Total,2024-02
Bogota,503.218378,Total,2024-02
"Cape Town",965.415220,Total,2024-02
Chengdu,5900.324314,Total,2024-02
Chicago,8129.506574,Total,2024-02
Chongqing,12628.538776,Total,2024-02
Copenhagen,220.218476,Total,2024-02
Hangzhou,4576.137610,Total,2024-02
Helsinki,494.745981,Total,2024-02
Houston,5705.330695,Total,2024-02
Istanbul,2662.105387,Total,2024-02
Jinan,5853.275537,Total,2024-02
London,2931.743574,Total,2024-02
"Los Angeles",11093.171215,Total,2024-02
Lyon,202.232104,Total,2024-02
Madrid,1164.906930,Total,2024-02
Marseille,172.866310,Total,2024-02
Melbourne,1367.226488,Total,2024-02
"Mexico City",2283.315056,Total,2024-02
Miami,3269.984556,Total,2024-02
Milan,383.343882,Total,2024-02
Moscow,7586.630232,Total,2024-02
Munich,565.977264,Total,2024-02
Nanjing,7904.523994,Total,2024-02
"New Delhi",1228.395692,Total,2024-02
"New York",9506.749271,Total,2024-02
Nice,72.441803,Total,2024-02
Osaka,7029.389683,Total,2024-02
Oslo,247.611849,Total,2024-02
Paris,2287.190879,Total,2024-02
Qingdao,2177.852944,Total,2024-02
Rome,749.455982,Total,2024-02
"San Francisco",3898.501876,Total,2024-02
Santiago,802.490669,Total,2024-02
Seattle,2055.212861,Total,2024-02
Seoul,9146.456110,Total,2024-02
Shanghai,30022.496133,Total,2024-02
Stockholm,127.185996,Total,2024-02
Sydney,1266.128918,Total,2024-02
Tokyo,17516.179500,Total,2024-02
Washington,3587.990647,Total,2024-02
Amsterdam,108.764410,Aviation,2024-03
Bangkok,34.068748,Aviation,2024-03
Barcelona,20.517609,Aviation,2024-03
Beijing,274.513843,Aviation,2024-03
Berlin,43.446169,Aviation,2024-03
Bogota,29.420792,Aviation,2024-03
"Cape Town",39.965754,Aviation,2024-03
Chengdu,58.393793,Aviation,2024-03
Chicago,400.910493,Aviation,2024-03
Chongqing,183.472349,Aviation,2024-03
Copenhagen,6.446253,Aviation,2024-03
Hangzhou,104.524075,Aviation,2024-03
Helsinki,8.807082,Aviation,2024-03
Houston,165.200824,Aviation,2024-03
Istanbul,73.415131,Aviation,2024-03
Jinan,47.440005,Aviation,2024-03
London,245.185470,Aviation,2024-03
"Los Angeles",452.128689,Aviation,2024-03
Lyon,0.948261,Aviation,2024-03
Madrid,116.070606,Aviation,2024-03
Marseille,1.721325,Aviation,2024-03
Melbourne,45.916868,Aviation,2024-03
"Mexico City",28.707552,Aviation,2024-03
Miami,200.361362,Aviation,2024-03
Milan,16.268886,Aviation,2024-03
Moscow,44.142389,Aviation,2024-03
Munich,3.645903,Aviation,2024-03
Nanjing,49.277896,Aviation,2024-03
"New Delhi",87.048383,Aviation,2024-03
"New York",401.016739,Aviation,2024-03
Nice,2.452902,Aviation,2024-03
Osaka,60.558566,Aviation,2024-03
Oslo,3.410817,Aviation,2024-03
Paris,75.148843,Aviation,2024-03
Qingdao,58.951612,Aviation,2024-03
Rome,35.252559,Aviation,2024-03
"San Francisco",139.128488,Aviation,2024-03
Santiago,49.433514,Aviation,2024-03
Seattle,148.133335,Aviation,2024-03
Seoul,53.392506,Aviation,2024-03
Shanghai,209.926848,Aviation,2024-03
Stockholm,9.589999,Aviation,2024-03
Sydney,65.286408,Aviation,2024-03
Tokyo,176.283145,Aviation,2024-03
Total,4618.920138,Aviation,2024-03
Washington,240.222945,Aviation,2024-03
Amsterdam,183.392921,"Ground Transport",2024-03
Bangkok,569.809353,"Ground Transport",2024-03
Barcelona,101.203500,"Ground Transport",2024-03
Beijing,1599.182306,"Ground Transport",2024-03
Berlin,149.662965,"Ground Transport",2024-03
Bogota,211.508131,"Ground Transport",2024-03
"Cape Town",176.702242,"Ground Transport",2024-03
